Actual,Predicted
Experts question if  packed out planes are putting passengers at risk .U.S consumer advisory group says minimum space must be stipulated .Safety tests conducted on planes with more leg room than airlines offer .,"Ever noticed how plane seats appear to be getting smaller and smaller? With increasing numbers of people taking to the skies, some experts are questioning if having such packed out planes is putting passengers at risk. They say that the shrinking space on aeroplanes is not only uncomfortable - it's putting our health and safety in danger. More than squabbling over the arm rest, shrinking space on planes putting our health and safety in danger? This week, a U.S consumer advisory group set up by the Department of Transportation said at a public hearing that while the government is happy to set standards for animals flying on planes, it doesn't stipulate a minimum amount"
"Drunk teenage boy climbed into lion enclosure at zoo in west India .Rahul Kumar, 17, ran towards animals shouting 'Today I kill a lion!'Fortunately he fell into a moat before reaching lions and was rescued .","A drunk teenage boy had to be rescued by security after jumping into a lions' enclosure at a zoo in western India. Rahul Kumar, 17, clambered over the enclosure fence at the Kamla Nehru Zoological Park in Ahmedabad, and began running towards the animals, shouting he would 'kill them'. Mr Kumar explained afterwards that he was drunk and 'thought I'd stand a good chance' against the predators. Next level drunk: Intoxicated Rahul Kumar, 17, climbed into the lions' enclosure at a zo in Ahmedabad and began running towards the animals shouting 'Today"
Nottingham Forest are close to extending Dougie Freedman's contract .The Forest boss took over from former manager Stuart Pearce in February .Freedman has since lead the club to ninth in the Championship .,Dougie Freedman is on the verge of agreeing a new two-year deal to remain at Nottingham Forest. Freedman has stabilised Forest since he replaced cult hero Stuart Pearce and the club's owners are pleased with the job he has done at the City Ground. Dougie Freedman is set to sign a new deal at Nottingham Forest. Freedman has impressed at the City Ground since replacing Stuart Pearce in February. They made an audacious attempt on the play-off places when Freedman replaced Pearce but have tailed off in recent weeks. That has not prevented Forest's ownership making moves to secure
"Fiorentina goalkeeper Neto has been linked with Liverpool and Arsenal .Neto joined Firoentina from Brazilian outfit Atletico Paranaense in 2011 .He is also wanted by PSG and Spanish clubs, according to his agent .CLICK HERE for the latest Liverpool news .","Liverpool target Neto is also wanted by PSG and clubs in Spain as Brendan Rodgers faces stiff competition to land the Fiorentina goalkeeper, according to the Brazilian's agent Stefano Castagna. The Reds were linked with a move for the 25-year-old, whose contract expires in June, earlier in the season when Simon Mignolet was dropped from the side. A January move for Neto never materialised but the former Atletico Paranaense keeper looks certain to leave the Florence-based club in the summer. Neto rushes from his goal as Juan Iturbe bears down on him during Fiorentina's clash"
"Tell-all interview with the reality TV star, 69, will air on Friday April 24 .It comes amid continuing speculation about his transition to a woman and following his involvement in a deadly car crash in February .The interview will also be one of Diane Sawyer's first appearances on television following the sudden death of her husband last year .","Bruce Jenner will break his silence in a two-hour interview with Diane Sawyer later this month. The former Olympian and reality TV star, 65, will speak in a 'far-ranging' interview with Sawyer for a special edition of '20/20' on Friday April 24, ABC News announced on Monday. The interview comes amid growing speculation about the father-of-six's transition to a woman, and follows closely behind his involvement in a deadly car crash in California in February. And while the Kardashian women are known for enjoying center stage, they will not be stealing Bruce's spotlight because they will be in Armenia when the interview airs, according to TMZ. Scroll"
"Giant pig fell into the swimming pool at his home in Ringwood, Hampshire .It took the efforts of a team of firefighters to winch him out of the water .A wayward horse also had to be rescued from a swimming pool in Sussex .","prize porker, known as Pigwig, had fallen into the pool in an upmarket neighbourhood in Ringwood, Hampshire. His owners had been taking him for a walk around the garden when the animal plunged into the water and was unable to get out. A team from Dorset Fire and Rescue struggled to haul the huge black pig out of swimming pool water. The prize porker known as Pigwig had fallen into the water and had then been unable to get out again. Two fire crews and a specialist animal rescue team had to use slide boards and strops to haul the huge black pig from the small pool. A spokesman for Dorset Fire and Rescue Service said:"
"Figures show that while millions still tune in they listen for shorter bursts .Average listener spent ten hours a week tuning in last three months of 2014 .This was 14% down on decade earlier, when people tuned in for 11.6 hours .The BBC Trust has cleared the way for firms to buy their way into lifestyle programmes on the World News channel in a product placement experiment. For example, publishers could pay to have their books reviewed on Talking Books. The BBC Trust will review the scheme in a year.","the amount of time people spend listening to BBC radio has dropped to its lowest level ever, the corporation’s boss has admitted. Figures show that while millions still tune in, they listen for much shorter bursts. The average listener spent just ten hours a week tuning in to BBC radio in the last three months of 2014, according to official figures. The length of time people spend listening to BBC radio has dropped to its lowest level ever, figures show. This was 14 per cent down on a decade earlier, when listeners clocked up an average of 11.6 hours a week. The minutes of the BBC Trust’s February meeting, published yesterday, revealed that director general Tony Hall highlighted the"
"Show will return with a one-hour special, followed by spinoff, star John Stamos says .He announced the show Monday night on ""Jimmy Kimmel Live""","co-star John Stamos announced Monday night on ""Jimmy Kimmel Live"" that Netflix has ordered up a reunion special, followed by a spinoff series called ""Fuller House."" The show will feature Candace Cameron Bure, who played eldest daughter D.J. Tanner in the original series -- which aired from 1987 to 1995 -- as the recently widowed mother of three boys. ""It's sort of a role reversal, and we turn the house over to her,"" Stamos told Kimmel. Jodie Sweetin, who played Stephanie Tanner in the original series, and Andrea Barber, who portrayed D.J.'"
"Reanne Evans faced Ken Doherty in World Championship qualifier .Doherty won the world championship in 1997 .Evans lost the first frame 71-15 against Doherty .But the Dudley native fought back to lead 4-3 .Ken Doherty, however, managed to close out an enthralling contest 10-8 .","At 11:20pm, former world champion Ken Doherty potted a final black and extinguished, for now, the dream of Reanne Evans to become the first women player to play the hallowed baize of Sheffield's Crucible Theatre in the world snooker championship. In every other respect however, 29-year-old Evans, a single mum from Dudley, was a winner on Thursday night. She advanced the cause of women in sport no end and gave Doherty the fright of his life in an enthralling and attritional match that won't be bettered in this year's qualifying tournament. Snooker"
"Gang have been jailed for a total of 31 years for sexually abusing children .Offences happened in cars, woods or at the defendants' homes in Banbury .Lured victims to parties organised on social media and then abused them .Girls aged between 13 and 16 were exploited by the gang from 2009 to 2014 .","A gang of six men have been jailed for a total of 31 years after being convicted of a string of sexual offences against teenager girls. The offences, which ranged from inciting sexual activity with a child, to rape, happened in cars, woods or at the defendants' homes in Banbury, Oxfordshire. Oxford Crown Court heard how they lured victims to parties organised on social media and then began sexually abusing them. The men were found guilty in March and have now been handed sentences of between three and nine years in jail. Jailed: Ahmed Hassan-Sule, 21 (left) was sentenced to nine years' imprisonment. Mohamed Sale"
"Mohammed Ali Malek, 27, has been charged with multiple manslaughter .Arrived in Malta on Italian rescue ship with bodies of 24 migrant victims .He was arrested alongside his 26-year-old Syrian 'smuggler accomplice'Prosecutors say Malek crashed into ship which had come to its rescue .Migrants then shifted position as result of collision, causing it to capsize .","Biting his nails nervously, these are the first pictures of the migrant boat captain accused of killing 900 men, women and children in one of the worst maritime disasters since World War Two. Tunisian skipper Mohammed Ali Malek, 27, was arrested when he stepped onto Sicilian soil last night, some 24 hours after his boat capsized in the Mediterranean. Before leaving the Italian coastguard vessel, however, he was forced to watch the bodies of 24 victims of the tragedy being carried off the ship for burial on the island of Malta. He was later charged with multiple manslaughter, causing a shipwreck and aiding illegal immigration. Prosecutors claim"
"Lippert, 42, suffered deep gashes to his hand when he was assaulted by knife-wielding nationalist Kim Ki-Jong in central Seoul last month .'It is an amazing apparatus, one I haven't seen before - so innovative and creative,' he wrote on Facebook .","South Korea Ambassador Lippert is now wearing a dynamic exoskeletal brace on his hand while he recovers from last month's knife attack. Mark Lippert, 42, suffered deep gashes to his cheek and hand when he was assaulted by knife-wielding nationalist Kim Ki-Jong at a breakfast function in central Seoul last month. The envoy required 80 stitches to the wound on his face and two-and-a-half hours of surgery. Scroll down for video. South Korea Ambassador Lippert is now wearing a dynamic exoskeletal brace on his hand (pictured) while he recovers from last month's knife attack"
Alastair Cook completed his century on the second morning of action .England captain resumed on 95 and reached three figures before retiring .That allowed Ian Bell to arrive at the crease as tourists continued to bat .,"England captain Alastair Cook completed a much-needed century on the second morning of England's opening tour match in the West Indies. Cook resumed on 95 and reached three figures with minimal fuss before retiring out. England captain Alastair Cook completed a century on the second morning of England's opening tour match. A controlled thick edge from the first ball of the day brought him an 11th boundary of the innings and in the following over he punched the ball for two off the back foot. He offered a gentle wave of the bat and a handshake to partner Gary Ballance and walked off on 101 from 200 deliveries. That allowed Ian Bell to arrive at the crease, with"
U.S. hostage Warren Weinstein is believed to have been accidentally killed in counter-terrorism strike .Peter Bergen: U.S. should rethink hostage policy to increase chances of freeing those held .,"warren Weinstein, who appears to have been the only American citizen held hostage by al Qaeda, was accidentally killed in a U.S. drone strike in January. But it didn't have to be that way. A senior U.S. official familiar with the handling of the issue told CNN that the U.S. government made no serious effort to negotiate for the 73-year-old development expert's release, either directly to al Qaeda or through proxies in Pakistan. Another senior U.S. official told CNN that Weinstein's capture by al Qaeda made it hard for the United States to negotiate, even though proxies such as the Pakistani government have links to intermediar"
"Sofia Davila, 21, nicknamed the 'Black Widow of Facebook' over crimes .Caught after going to police, claiming she was forced out her victim's flat .She has admitted bedding and robbing 15 men after spiking their drinks .","Argentinian con-artist Sofia Davila posted raunchy pictures or herself online and then flirted with unsuspecting men she had contacted on the social network, suggesting they meet up for sex. But after meeting her victims, the 21-year-old from Buenos Aires, would spike their drinks and wait for them to fall unconscious, before ransacking their homes. Buenos Aires thief Sofia Davila, 21, would start chatting to men over Facebook before suggesting that they meet up. When they did, she would spike their drinks and rob their homes after they fell unconscious. The 21-year-old posted raunchy"
"Australian Fashion Report revealed the Australian-sold brands and companies that ignore the exploitation of their overseas workers .Lowes, Industrie, Best & Less and the Just Group - which includes Just Jeans, Portmans and Dotti - were  some of the worst performers .Etiko, Audrey Blue, Cotton On, H&M and Zara had some of the best scores .75 per cent of companies don't know the source of all their fabrics and inputs .","As Australian Fashion Week comes to a close, a new damning report has named and shamed some of the worst clothing brands sold in Australia and their companies, for the ongoing exploitation of their overseas workers. Lowes, Industrie, Best & Less and the Just Group - which includes Just Jeans, Portmans and Dotti - were identified as some of the worst performing companies by The 2015 Australian Fashion Report. Amongst the best performers were Etiko, Audrey Blue, Cotton On, H&M and Zara. The report assessed the labour rights management systems of 59 companies and 219 brands operating in Australia. The 2015 Australian Fashion Report has named and shamed some of the"
"Arsenal take on Stoke City in Barclays Under 21 Premier League clash .Jack Wilshere and club captain Mikel Arteta have been out since November .Abou Diaby has been ravaged by injuries during nine-year spell at club .Arteta, Wilshere and Diaby are all close to first-team returns .Young winger Serge Gnabry also in the side on return from injury .READ: Arsenal's Alex Oxlade-Chamberlain, Calum Chambers, Jack Wilshere and Danny Welbeck keep their agents close .CLICK HERE for all the latest Arsenal news .","Arsenal's midfield trio Jack Wilshere, Mikel Arteta and Abou Diaby have all been handed starts for the club's Under 21s game on Tuesday night as they continue their respective recoveries from injury. Steve Gatting's young Gunners take on Stoke City at the Emirates Stadium in a U21 Premier League clash. Teenage winger Serge Gnabry is also in the starting line-up, alongside a host of promising youngsters including Dan Crowley. Jack Wilshere, pictured in first team training last week, starts for Arsenal Under 21s on Tuesday night. Club captain Mikel Arteta (left) is also in the"
"Prasanna Arulchelvam leapt into van as it sped away but was pushed out .His head hit the ground with a 'nasty crunch' and he died 11 days later .A gang tried to steal cigarettes from the victim's van before he gave chase .All three have now been jailed, including the man who pushed Mr Prasanna .","Tragedy: Prasanna ‘Nick’ Arulchelvam died when he fell from a van while chasing a gang of thieves. A courageous shopkeeper was killed when he made a desperate attempt to stop a gang of thieves who had broken into his van in a cash and carry car park. Prasanna ‘Nick’ Arulchelvam ran and jumped through an open side door of their van, but was pushed out and hit the ground as the vehicle sped away. A customer in the Costco car park in Watford where the incident happened reported hearing a ‘nasty crunch’ as the 34-year"
"Smoke from massive fires in Siberia created fiery sunsets in the Pacific Northwest .Atmospheric winds carried smoke from the wildfires across the Pacific Ocean .Smoke particles altered wavelengths from the sun, creating a more intense color .","the fiery sunset greeted people in Washington Sunday. The deep reddish color caught Seattle native Tim Durkan's eye. He photographed a handful of aerial shots of the sunset warming the city's skyline and shared them on CNN iReport. The stunning sunsets were the result of raging wildfires in parts of Siberia. ""The dramatic sunsets began showing up over the weekend and had Seattle locals wondering where the amber-colored haze was originating from,"" Durken said. The fires were started in southeastern Siberia, by farmers burning grass in their fields. But on April 14, it is believed that the flames quickly grew out of"
"Scientists say camel was left in Tulln after the 1683 siege of Vienna .It would have shocked residents as camels were an alien species .'They didn't know what to feed it or whether one could eat it,' study said .Ottoman army used camels for transportation and as riding animals .","archaeologists have uncovered the complete skeleton of a 17th-century camel that was likely used in the second Ottoman-Habsburg war. They believe the camel - the first intact camel skeleton found in central Europe - may have been left in the town of Tulln for trading after the siege of Vienna in 1683. In a country where cows dominate the rural landscape, the discovery in an Austrian cellar shocked scientists. The researchers described it as a'sunken ship in the desert'. Archaeologists have uncovered the complete skeleton of an 'alien' 17th-century camel that was"
"Ben Affleck admits he asked PBS show ""Finding Your Roots"" to avoid mentioning his slave-owning ancestor .Dean Obeidallah says the actor and the show were right to leave the detail out .","I wouldn't, and neither did Ben Affleck, who lobbied producers of a PBS show, ""Finding Your Roots,"" to remove any reference to his great-great-great grandfather Benjamin Cole, a Georgia slave owner in the mid-1800's, in an episode that looked at Affleck's family history. (Affleck revealed Cole's name Wednesday night.) Here's the thing that might surprise many, given the tendency of the media to exploit any potentially scandalous material: The show's producer, Harvard professor Henry Louis Gates Jr., apparently acquiesced to Affleck's request, because when the episode"
"Mered Medhanie and Ermias Ghermay 'have made £72m in last two years'Medhanie heard on police wiretap mocking the fatal overcrowding of ships .Ghermay reportedly said: 'I don't know what happened, they probably died'Pair wanted over major smuggling ring, but are hiding in lawless Libya .","Wanted: A police e-fit image of millionaire people trafficker Ermias Ghermay, who is thought to have made £72m with his accomplice Mered Medhanie from smuggling migrants in the last two years. Two millionaire people traffickers have been heard mocking the migrant boat disasters that have resulted in thousands of deaths in the Mediterranean, it has been reported. One of them, an Eritrean called Mered Medhanie, also known as The General, was heard laughing on a police wiretap about overloading migrant ships, a problem that causes them to capsize. Medhanie"
"Beatrice seen watching race on terrace with the Gulf state's Crown Prince .Marks 13th holiday since November last year, and fourth in a month .Princess quit her job at Sony Pictures in New York before Christmas .Despite that she is described as working full-time on her father's website .","Princess Beatrice has been seen at the Bahrain Grand Prix, her fourth holiday in a month (pictured at the Abu Dhabi Grand Prix last November) After 11 holidays in under six months, you might have thought Princess Beatrice would be ready to put the brakes on her globetrotting. But yesterday the underemployed 26-year-old was spotted enjoying the high life in an overseas location yet again, this time at the Bahrain Grand Prix. She was in the Gulf state, ruled by a controversial king whose regime has been accused of violently repressing pro-democracy activists, with her long-term boyfriend Dave Clark, according to an onlooker who saw her among"
"Justice Dept. sent 7-page letter to House Speaker John Boehner explaining why the former IRS official was allowed to plead the Fifth Amendment .Federal prosecutor in charge of the case sent his decision to Capitol Hill on the last day before his own resignation took effect .Lerner offered a self-serving opening statement during a 2013 hearing, but refused to take questions even though she was under subpoena .Hearing focused on the IRS's habit of targeting conservative groups with special scrutiny based on words like 'patriots' or 'tea party' in their names .The DOJ says she can't be prosecuted for defying the subpoena 'because she made only general claims of innocence' and offered few details .","after nearly two years of jockeying with Congress over the IRS's history of discriminating against conservative nonprofit groups, former official Lois Lerner won't be charged with a crime for defying a congressional subpoena and refusing to answer questions. U.S. Attorney Ronald Machen, on his last day in office, told House Speaker John Boehner in a seven-page letter that Lerner could wrap herself in the U.S. Constitution's Fifth Amendment, even though she offered a self-serving opening statement before clamming up during a May 22, 2013 hearing. Lerner has long been in the GOP's crosshairs because she led"
Obama's point man in ISIS fight doesn't rule out U.S. military action beyond Iraq and Syria .Brett McGurk: Iraqi leader making progress with Sunni tribes in planned Anbar offensive .,"Washington, d.c. -- ISIS is a problem that is ""off the charts historically"" and has sent the United States into ""uncharted territory"" when it comes to putting down the terror group, the Obama administration's point man in the fight recently told CNN. The comments, which Brett McGurk made in an exclusive interview, were some of the administration's strongest to date in describing the challenge the United States and its allies face in battling ISIS. ""This is a problem that is off the charts historically,"" he said, referring to the more than 20,000 foreign fighters who have gone into Syria. ""Just put that into perspective: It's about twice"
Farage claims PM has been secretly using hair dye to turn back the years .He said: 'Any man who can reverse the greying process I’m jealous of'The PM has been accused of visiting stylists to keep hair looking youthful .,"David Cameron has been secretly using hair dye to turn back the years Nigel Farage suggested today. In a dig at the Prime Minister, the Ukip leader said that he was ‘jealous’ of how the Tory leader has reversed the greying process while in Downing Street. After clashing at last week’s televised leaders debate, Mr Farage said he had shaken Mr Cameron’s hand and ‘complimented him on his appearance’. Scroll down for video. David Cameron - who has been accused of trying to hide his bald spot - has been secretly using hair dye to turn back the years, Nigel Farage suggested today."
"Bomb expert David Hyche created the eggs when his daughter turned blind .The children follow sound of a beeper in a plastic egg, trade it for candy .He has now passed on the idea to Alabama Institute for Deaf and Blind .","David Hyche, now a special agent at the Bureau of Alcohol, Tobacco and Firearms (ATF), developed the technology nine years ago when his four-month-old daughter turned blind. A transmitter is placed inside plastic eggs that let off a high-pitched beeping sound. Now Hyche has passed on the idea to the Alabama Institute for Deaf and Blind in Birmingham. Festive invention: Blind children in Birmingham, Alabama, have celebrated Easter early by hunting for plastic eggs that let of a beeping sound. They trade the eggs in for candy. The device: Bomb expert David Hyche put a transmitter in a plastic egg so his daughter could join the fun"
"David Messerschmitt, 30, who met his wife in college, had been using Craigslist to solicit men, according to an affidavit on Tuesday .Jamyra Gallmon, 21, 'contacted victim using a masculine-sounding email address and went to hotel with the intention of robbing him'The pair got into a struggle on February 9 and she stabbed him repeatedly in the abdomen, back and groin .The lawyer was found dead at the upscale Washington DC hotel after being reported missing by his wife .Gallmon made an initial appearance on the murder charge Superior Court in DC on Thursday .","A newlywed husband who was stabbed to death in a hotel room had solicited his murderer during a Craigslist exchange for gay sex, according to new court records on Thursday. Jamyra Gallmon, 21, has been charged with first-degree murder while armed for allegedly killing David Messerschmitt, 30, on February 9 in Washington, D.C. The woman admitted to police that she set up the lawyer using a masculine-sounding email address and went to the upscale Donovan hotel with the intention of robbing him. Scroll down for video. Jamyra Gallmon, 21, (pictured graduating from her military academy"
"Serial killer Peter Sutcliffe, 68, was jailed for life for murdering 13 women .Held at Broadmoor since being diagnosed with paranoid schizophrenia .He is now being considered for a move to the low-security Priory unit .","notorious mass murderer Peter Sutcliffe, who has spent three decades in jail, is to be moved to a cushy low security unit, it has been claimed. The families of victims of Yorkshire Ripper Peter Sutcliffe are furious at plans to move him from Broadmoor to a low-security Priory unit. Mass murderer Sutcliffe has spent more than three decades in Broadmoor for the savage killings of 13 women. But now, despite being one of the country’s most notorious serial killers, Sutcliffe may be moved to a cushy Priory unit set in Berkshire woodland. Sutcliffe"
"ISIS has announced that all nurses working for them must speak English .Rule was one of the entry requirements for a new nursing school in Raqqa .NHS has also attempted to introduce English language checks for nurses .But despite the law being approved, a lengthy consultation process means EU-trained nurses are still being employed without English tests .","this laminated document announces the new ISIS nursing school and lists the language entry requirements for would-be nurses. Militants fighting for the Islamic State terror group in Syria have announced that all nurses working in areas under their control must speak English - something the NHS still hasn't introduced. Revealing plans to open a school of nursing in ISIS' de facto capital Raqqa, the extremists also disclosed the tough entry requirements for prospective medical workers. Among them are rules that applicants are no more than 25 years of age, must be willing to work anywhere inside the territory controlled by the extremists, and must speak fluent English. The latter rule is something that even"
